item_to_allergen_id,item_id,allergen_id
1,1,1
2,1,2
3,1,3
4,2,1
5,2,2
6,2,3
7,2,4
8,4,1
9,4,2
10,5,1
11,5,2
12,5,5
13,6,1
14,6,2
15,6,3
16,7,1
17,7,2
18,8,1
19,8,2
20,8,3
21,9,1
22,9,2
23,9,3
24,10,2
25,11,1
26,11,2
27,11,4
28,11,5
29,11,6
30,11,7
31,12,1
32,12,2
33,12,3
34,12,8
35,13,1
36,13,2
37,13,3
38,14,1
39,14,2
40,14,3
41,14,4
42,14,5
43,15,1
44,15,2
45,15,3
46,16,2
47,17,1
48,17,2
49,17,3
50,17,4
51,17,5
52,18,2
53,18,4
54,18,5
55,19,1
56,19,2
57,19,3
58,20,2