item_to_ingredient_id,item_id,ingredient_id,serving_size
1,1,1,0.2
2,1,2,0.4
3,1,3,0.12
4,1,4,0.2
5,1,5,0.25
6,1,6,0.02
7,2,7,0.5
8,2,8,0.02
9,2,9,0.03
10,2,10,0.04
11,2,5,0.25
12,2,11,0.01
13,2,28,0.1
14,3,7,0.5
15,4,1,0.2
16,4,12,0.12
17,4,13,0.1
18,4,3,0.12
19,4,5,0.25
20,5,14,0.2
21,5,3,0.12
22,5,15,0.018
23,5,16,0.06
24,5,28,0.1
25,5,17,0.002
26,5,5,0.25
27,5,18,0.02
28,6,12,0.12
29,6,3,0.12
30,6,14,0.2
31,6,5,0.25
32,7,19,0.2
33,7,12,0.12
34,7,20,0.05
35,7,4,0.2
36,7,21,0.06
37,7,3,0.12
38,7,5,0.25
39,7,22,0.02
40,7,23,0.01
41,7,24,0.01
42,7,25,0.01
43,7,26,0.01
44,8,27,0.3
45,8,3,0.12
46,8,6,0.02
47,8,4,0.2
48,8,5,0.25
49,9,27,0.3
50,9,15,0.018
51,9,17,0.002
52,9,30,0.1
53,9,31,0.2
54,9,32,0.1
55,9,3,0.12
56,9,5,0.25
57,10,33,0.3
58,10,34,0.1
59,10,35,0.4
60,10,3,0.12
61,10,18,0.02
62,10,17,0.002
63,10,36,0.1
64,11,37,0.17
65,11,17,0.002
66,11,5,0.25
67,11,39,0.04
68,11,40,0.1
69,11,3,0.12
70,11,15,0.018
71,11,41,0.1
72,12,27,0.3
73,12,42,0.3
74,12,3,0.12
75,12,16,0.06
76,12,43,0.1
77,12,5,0.25
78,12,11,0.01
79,12,27,0.3
80,12,20,0.05
81,12,42,0.3
82,12,3,0.12
83,12,5,0.25
84,13,27,0.3
85,13,3,0.12
86,13,15,0.018
87,13,18,0.02
88,13,17,0.002
89,13,36,0.1
90,13,44,0.1
91,14,34,0.1
92,14,45,0.35
93,14,3,0.12
94,14,4,0.2
95,14,5,0.25
96,15,46,0.35
97,15,47,0.1
98,15,3,0.12
99,15,15,0.018
100,15,16,0.06
101,15,4,0.2
102,15,48,0.1
103,15,36,0.1
104,15,5,0.25
105,15,49,0.2
106,16,46,0.35
107,16,47,0.1
108,16,3,0.12
109,16,15,0.018
110,16,16,0.06
111,16,4,0.2
112,16,48,0.1
113,16,18,0.02
114,16,36,0.1
115,16,5,0.25
116,16,22,0.02
117,17,50,0.1
118,17,27,0.3
119,17,3,0.12
120,17,1,0.2
121,17,4,0.2
122,17,51,0.2
123,17,10,0.04
124,17,52,0.1
125,17,53,0.2
126,18,54,2
127,18,11,0.01
128,18,50,0.1
129,18,3,0.12
130,18,55,0.1
131,19,1,0.2
132,19,56,0.1
133,19,6,0.02
134,19,10,0.04
135,19,3,0.12
136,19,52,0.1
137,19,11,0.01
138,19,17,0.002
139,19,56,0.1
140,19,59,0.1
141,19,15,0.018
142,19,3,0.12
143,19,5,0.25
144,19,17,0.002
145,19,36,0.1
146,19,58,0.1
147,19,59,0.1
148,19,28,0.1